index,variable,condition,replicate
0,7.764685947044227,0,1
1,8.533439514860344,0,1
2,5.970846507740814,0,1
3,9.771157942021514,0,1
4,8.087816931897832,0,1
5,8.867614427348975,0,1
1296,12.809881857439072,0,2
1297,10.167458038002046,0,2
1298,13.499982991608617,0,2
1299,12.619518541421588,0,2
1300,11.25432315020615,0,2
1301,12.41123661606208,0,2
2592,13.974646321208184,0,3
2593,4.525516692684563,0,3
2594,15.055647211795968,0,3
2595,12.516623752931784,0,3
2596,14.64056079021118,0,3
2597,13.93252280448856,0,3
3888,12.591166878971189,0,4
3889,12.676239404345951,0,4
3890,11.53693088381079,0,4
3891,10.074946840682273,0,4
3892,10.07679266904436,0,4
3893,9.232952867696234,0,4
5184,4.139732195880928,0,5
5185,10.021354328163689,0,5
5186,4.923879071103999,0,5
5187,7.89943621231841,0,5
5188,1.5356163956013544,0,5
5189,8.00499335113168,0,5
6480,5.939288161794829,0,6
6481,6.73150437819127,0,6
6482,7.725405890303451,0,6
6483,6.267581128992244,0,6
6484,6.896105574657789,0,6
6485,9.744960357529342,0,6
0,7.764685947044227,1,1
1,8.533439514860344,1,1
2,5.970846507740814,1,1
3,9.771157942021514,1,1
4,8.087816931897832,1,1
5,8.867614427348975,1,1
6,7.244208247800075,1,1
7,6.372567927841487,1,1
8,6.618881347334732,1,1
9,7.770630710444985,1,1
10,4.971451204251801,1,1
11,9.267083880900165,1,1
12,10.006575646428578,1,1
13,8.382480632940332,1,1
14,6.81210944718612,1,1
15,8.71288751705223,1,1
16,8.54401859414544,1,1
17,4.601187652320182,1,1
18,6.510183783587145,1,1
19,7.977664400580893,1,1
20,7.256035061662372,1,1
21,8.438850971178912,1,1
22,9.680815592927557,1,1
23,5.7612072659615645,1,1
24,10.592036833358025,1,1
25,9.53476740517346,1,1
26,8.127142298170073,1,1
27,6.931738073213095,1,1
28,7.575969867252621,1,1
29,9.738492384547822,1,1
30,9.229712920615608,1,1
31,7.397016098734315,1,1
32,9.59854863968198,1,1
33,10.77450617958378,1,1
34,7.29195911530862,1,1
35,8.934334782847692,1,1
1296,12.809881857439072,1,2
1297,10.167458038002046,1,2
1298,13.499982991608617,1,2
1299,12.619518541421588,1,2
1300,11.25432315020615,1,2
1301,12.41123661606208,1,2
1302,10.020812179017517,1,2
1303,9.896784964840666,1,2
1304,12.370292025765735,1,2
1305,7.835444135434699,1,2
1306,11.406247966129524,1,2
1307,10.51200941164544,1,2
1308,12.310192727731389,1,2
1309,10.066001312704298,1,2
1310,11.216581600494443,1,2
1311,15.066376697732537,1,2
1312,11.14964829879852,1,2
1313,10.07063587314904,1,2
1314,11.30436748432849,1,2
1315,9.165575077934797,1,2
1316,13.266722369316415,1,2
1317,11.832414603830332,1,2
1318,12.147764481100852,1,2
1319,10.657940977375151,1,2
1320,10.084596536557452,1,2
1321,10.864678901091398,1,2
1322,8.708174942740989,1,2
1323,13.364786439443082,1,2
1324,13.192761676252994,1,2
1325,12.673321767298717,1,2
1326,9.973410808248476,1,2
1327,13.657819382506853,1,2
1328,11.031508515831897,1,2
1329,14.261625645973604,1,2
1330,9.11438017697968,1,2
1331,12.438718304462624,1,2
2592,13.974646321208184,1,3
2593,4.525516692684563,1,3
2594,15.055647211795968,1,3
2595,12.516623752931784,1,3
2596,14.64056079021118,1,3
2597,13.93252280448856,1,3
2598,13.080258270737346,1,3
2599,11.37629628944577,1,3
2600,8.15203765922838,1,3
2601,14.43236611359868,1,3
2602,9.094315423046348,1,3
2603,11.078067490904276,1,3
2604,12.796128116926765,1,3
2605,9.889086441664066,1,3
2606,15.405902899624838,1,3
2607,10.900681052457587,1,3
2608,8.727752461224197,1,3
2609,8.270018465451903,1,3
2610,13.5650049505039,1,3
2611,12.082444693126863,1,3
2612,8.568802861839,1,3
2613,12.158477372477678,1,3
2614,11.102043544770694,1,3
2615,14.619948904518402,1,3
2616,10.650242185934912,1,3
2617,13.09045605544828,1,3
2618,11.330694397807568,1,3
2619,8.4225376382328,1,3
2620,10.729072905280034,1,3
2621,8.28927181271551,1,3
2622,11.506474080465036,1,3
2623,7.567610951675837,1,3
2624,10.264190210821829,1,3
2625,16.00234059202091,1,3
2626,8.681992846717716,1,3
2627,9.460231246348856,1,3
3888,12.591166878971189,1,4
3889,12.676239404345951,1,4
3890,11.53693088381079,1,4
3891,10.074946840682273,1,4
3892,10.07679266904436,1,4
3893,9.232952867696234,1,4
3894,10.644410299912622,1,4
3895,13.567677461358766,1,4
3896,10.812675226468794,1,4
3897,13.019602124149468,1,4
3898,11.587228530256068,1,4
3899,10.74518391112372,1,4
3900,10.218869709827729,1,4
3901,11.133481636644012,1,4
3902,11.127101182398546,1,4
3903,14.657623991092851,1,4
3904,14.841956660048783,1,4
3905,10.596581200717178,1,4
3906,10.154645386382766,1,4
3907,13.26855790373688,1,4
3908,10.81331965403782,1,4
3909,11.439438139884844,1,4
3910,13.987647094085403,1,4
3911,10.74379122352308,1,4
3912,9.510175672414412,1,4
