	Control_1	Control_2	Control_3	Control_4	Control_5	Drug_1	Drug_2	Drug_3	Drug_4	Drug_5
Control_1	1.0	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9
Control_2	0.9	1.0	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9
Control_3	0.9	0.9	1.0	0.9	0.9	0.9	0.9	0.9	0.9	0.9
Control_4	0.9	0.9	0.9	1.0	0.9	0.9	0.9	0.9	0.9	0.9
Control_5	0.9	0.9	0.9	0.9	1.0	0.9	0.9	0.9	0.9	0.9
Drug_1	0.9	0.9	0.9	0.9	0.9	1.0	0.9	0.9	0.9	0.9
Drug_2	0.9	0.9	0.9	0.9	0.9	0.9	1.0	0.9	0.9	0.9
Drug_3	0.9	0.9	0.9	0.9	0.9	0.9	0.9	1.0	0.9	0.9
Drug_4	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	1.0	0.9
Drug_5	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	1.0
